"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Glencadam Origin 1825 (NAS)","8.29","0.10","4","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove Double Cask","8.29","0.49","14","$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Auchentoshan Valinch","8.29","0.61","14","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Wolfburn (NAS)","8.29","0.36","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Forty Creek Three Grain Harmony","8.29","0.50","8","$$$","Rye-like","","","Canada","Blend"
"Balcones Baby Blue","8.29","0.67","14","$$$$","Bourbon-like","","R0","USA","Whiskey"
"Jim Beam Double Oak","8.29","0.48","9","$$","Bourbon-like","","R2","USA","Bourbon"
"Old Forester 1870 Original Batch","8.29","0.16","3","$$$","Bourbon-like","","R2","USA","Bourbon"
"Jura 21yo 200th Anniversary","8.28","0.78","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich 14yo Bourbon Barrel Reserve","8.28","0.31","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Amber","8.28","0.37","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glen Ord 12yo","8.28","0.3","6","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Teaninich 10yo (F&F)","8.28","0.19","4","","SingleMalt-like","EF","F","Scotland","Malt"
"Wemyss Malts Smooth Gentleman","8.28","0.1","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Lochranza Reserve","8.28","0.22","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Box (High Coast) Quercus I Robur","8.28","0.41","3","$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Highland Park Svein","8.28","0.39","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mannochmore 12yo (F&F)","8.28","0.16","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tamdhu 10yo","8.28","0.59","18","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Jura Superstition","8.28","0.44","24","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bushmills Red Bush","8.28","0.36","8","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Gold Label Reserve","8.28","0.31","18","$$$$","Scotch-like","","","Scotland","Blend"
"Crown Royal Limited Edition","8.28","0.19","11","$$","Rye-like","","","Canada","Blend"
"Jack Daniel's Rested Tennessee Rye (Batch 1/2)","8.28","0.51","4","$$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate Rye XCF 1.0","8.28","0.46","4","$$$$$","Rye-like","","R4","USA","Rye"
"Ohishi Brandy Cask","8.27","0.18","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scapa 16yo","8.27","0.3","16","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 20yo","8.27","0.67","12","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul 16yo","8.27","0.4","19","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Penderyn Peated","8.27","0.60","9","$$$$","SingleMalt-like","I","I","Wales","Malt"
"Spirit of Hven Seven Stars No. 1 Dubhe","8.27","0.39","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Yellow Rose Straight Rye","8.27","0.54","5","$$$","Rye-like","","R4","USA","Rye"
"Blanton's Special Reserve Single Barrel (Green label)","8.27","0.37","8","$$$","Bourbon-like","","R2","USA","Bourbon"
"Michter's Sour Mash","8.27","0.08","3","$$$","Bourbon-like","","R1","USA","Bourbon"
"Auchentoshan Three Wood","8.26","0.42","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Concertmaster Port Cask","8.26","0.54","21","$$$$","SingleMalt-like","ABC","C","Taiwan","Malt"
"Auchentoshan 12yo","8.26","0.26","23","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 1989","8.26","0.39","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bladnoch Vintage 1992-2007 (Signatory)","8.26","0.45","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant 10yo","8.26","0.48","9","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenfiddich 1963 Original Malt","8.26","0.43","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glengoyne 10yo","8.26","0.31","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullibardine Vintage 1993","8.26","0.44","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach Birnie Moss","8.26","0.33","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glendalough Double Barrel","8.26","0.35","8","$$","Scotch-like","","","Ireland","Grain"
"Jameson Crested Irish Whiskey","8.26","0.38","5","$$","Scotch-like","","","Ireland","Blend"
"Basil Hayden’s Kentucky Bourbon","8.26","0.38","19","$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Forester 1897 BiB","8.26","0.55","7","$$$","Bourbon-like","","R2","USA","Bourbon"
"Macallan 10yo Fine Oak","8.25","0.31","19","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Royal Brackla 12yo","8.25","0.46","13","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Alba Reserve","8.25","0.42","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"St George's Chapter 6 (unpeated)","8.25","0.45","10","$$$","SingleMalt-like","GH","G","England","Malt"
"Teerenpeli 10yo","8.25","0.41","6","$$$$$","SingleMalt-like","GH","H","Finland","Malt"
"White Oak Akashi 5yo","8.25","0.57","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Glenrothes Peated Cask Reserve","8.25","0.61","4","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jameson Bold Irish Whiskey","8.25","0.40","4","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker 12yo Black Label","8.25","0.47","24","$$","Scotch-like","","","Scotland","Blend"
"Canadian Club 100% Rye","8.25","0.39","16","$","Rye-like","","","Canada","Rye"
"Crown Royal Noble Collection Wine Frech Oak Cask Finished","8.25","0.81","3","$$$","Rye-like","","","Canada","Blend"
"Smooth Ambler Old Scout 10yo Bourbon","8.25","0.63","6","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Glen Scotia Double Cask","8.24","0.56","10","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackmyra Moment Jakt","8.24","0.57","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Stalk & Barrel Single Malt (All Casks)","8.24","0.43","13","$$$","SingleMalt-like","EF","F","Canada","Malt"
"Tobermory 10yo","8.24","0.41","23","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glendalough 7yo Single Malt","8.24","0.31","7","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Old Ballantruan Peated (Toumintoul)","8.24","0.42","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Aberlour 10yo","8.23","0.38","16","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Black Rock","8.23","0.34","9","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore King Alexander III","8.23","0.47","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Moray 16yo","8.23","0.55","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich Reserve Cask","8.23","0.24","8","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenrothes Robur Reserve","8.23","0.47","6","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Wemyss Malts Velvet Fig","8.23","1.17","5","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Edradour 10yo","8.23","0.66","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Elders' Reserve","8.23","0.71","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bladnoch 1993-2009 (G&M)","8.23","0.20","5","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Ice 10yo","8.23","0.56","8","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Highland Park Harald","8.23","0.45","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Springbank CV","8.23","0.37","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Chivas Regal 18yo","8.23","0.47","15","$$$$","Scotch-like","","","Scotland","Blend"
"Jameson Distiller's Safe Irish Whiskey","8.23","0.56","7","$$$$","Scotch-like","","","Ireland","Blend"
"Alberta Springs 10yo","8.23","0.44","9","$","Rye-like","","","Canada","Blend"
"Yellowstone Select","8.23","0.23","7","$$$","Bourbon-like","","R3","USA","Bourbon"
"Glen Garioch 16yo Renaissance Chapter 2","8.22","0.57","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Scallywag","8.22","0.55","14","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Shelter Point Classic Single Cask (KWM) Single Malt Whisky","8.22","0.44","3","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Tyrconnell Single Malt Irish Whiskey","8.22","0.39","17","$$","SingleMalt-like","GH","H","Ireland","Malt"
"Bowmore Small Batch","8.22","0.51","13","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Suntory The Chita Single Grain","8.22","0.42","8","$$$","Scotch-like","","","Japan","Blend"
"66 Gilead Crimson Rye","8.22","0.46","7","$$","Rye-like","","","Canada","Blend"
"Old Overholt Bonded","8.22","0.46","3","$$","Rye-like","","R4","USA","Rye"
"George Dickel No.12","8.22","0.39","19","$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Black Label","8.22","0.31","16","$","Bourbon-like","","R2","USA","Bourbon"
"Macallan Select Oak","8.21","0.33","12","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackmyra Skordetid","8.21","0.62","4","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Bruichladdich Sherry Classic","8.21","0.90","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathisla 12yo","8.21","0.31","14","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenkinchie 12yo","8.21","0.25","18","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Asyla","8.21","0.45","14","$$$","Scotch-like","","","Scotland","Blend"
"Pendleton 1910","8.21","0.69","9","$$","Rye-like","","","Canada","Blend"
"Four Roses (Yellow Label)","8.21","0.34","13","$","Bourbon-like","","R3","USA","Bourbon"
"Maker's Mark","8.21","0.38","26","$$","Bourbon-like","","R0","USA","Bourbon"
"Deanston 12yo","8.20","0.46","20","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Breton 21yo","8.20","0.36","3","$$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Auchentoshan Virgin Oak","8.20","0.54","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Macallan Gold","8.20","0.28","17","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich 8yo Laddie Eight","8.20","0.64","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Connemara Peated Single Malt","8.20","0.26","17","$$$","SingleMalt-like","I","I","Ireland","Malt"
"Evan Williams 1783 Small Batch","8.20","0.34","5","$","Bourbon-like","","R1","USA","Bourbon"
"Jura Seven Wood","8.19","0.28","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tullibardine 500 Sherry Finish","8.19","0.31","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Two Brewers Release 05 Innovative","8.19","0.9","4","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Glenrothes Bourbon Cask Reserve","8.19","0.15","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Stronachie 12yo","8.19","0.34","9","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"St George's Chapter 9 (peated)","8.19","0.48","5","$$$","SingleMalt-like","I","I","England","Malt"
"Wayne Gretzky No. 99 Ice Cask","8.19","0.29","5","$$$","Rye-like","","","Canada","Blend"
"Ben Nevis 10yo (old label, pre-2017)","8.18","0.45","11","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich Select Cask","8.18","0.38","10","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomintoul 12yo Oloroso Sherry","8.18","0.56","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlossie 10yo (F&F)","8.18","0.31","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Nikka Gold & Gold","8.18","0.26","8","$$$","SingleMalt-like","GH","G","Japan","Malt"
"Tullibardine Sovereign","8.18","0.27","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Black Bottle (pre-2013)","8.18","0.48","15","$$","Scotch-like","","","Scotland","Blend"
"Crown Royal Black","8.18","0.49","17","$$","Rye-like","","","Canada","Blend"
"Evan Williams (Black Label)","8.18","0.40","16","$","Bourbon-like","","R1","USA","Bourbon"
"Glenglassaugh Revival","8.17","0.47","13","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"The Quiet Man 8yo Single Malt","8.17","0.51","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Highland Park Einar","8.17","0.40","9","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Gibson's Bold 8yo","8.17","0.44","5","$","Rye-like","","","Canada","Blend"
"Stalk & Barrel 11+1 Canadian whisky","8.17","0.4","17","$$","Rye-like","","","Canada","Blend"
"Koval Single Barrel Millet Whiskey","8.17","0.30","6","$$$","Bourbon-like","","R0","USA","Grain"
"Singleton of Dufftown Tailfire","8.16","0.41","4","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Auchroisk 10yo (F&F)","8.16","0.09","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 1993 Sauternes","8.16","0.34","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Chivas Regal Mizunara","8.16","0.57","9","$$$","Scotch-like","","","Scotland","Blend"
"Crown Royal Bourbon Mash (Blender's Mash)","8.16","0.63","8","$$","Rye-like","","","Canada","Blend"
"Tincup American Whiskey","8.16","0.3","9","$$","Bourbon-like","","R3","USA","Bourbon"
"Arran Malt Robert Burns Single Malt","8.15","0.57","9","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenrothes Manse Reserve","8.15","0.91","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Shelter Point Artisanal Single Malt Whisky","8.15","0.46","9","$$$","SingleMalt-like","GH","G","Canada","Malt"
"Heaven Hill Trybox Series New Make","8.15","0.30","3","$","Bourbon-like","","R1","USA","Bourbon"
"Aberfeldy 12yo","8.14","0.33","20","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bushmills 10yo Single Malt","8.14","0.52","22","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Cardhu Amber Rock","8.14","0.36","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Deanston Virgin Oak","8.14","0.44","15","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenglassaugh Evolution","8.14","0.30","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Jameson Caskmates Stout Edition","8.14","0.50","10","$$","Scotch-like","","","Ireland","Blend"
"Canadian Club Sherry Cask","8.14","0.67","8","$$","Rye-like","","","Canada","Blend"
"Old Forester","8.14","0.46","14","$$","Bourbon-like","","R2","USA","Bourbon"
"Glenrothes Vintage 2001 (all bottlings)","8.13","0.57","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Midnattssol","8.13","0.67","5","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Tormore 14yo","8.13","0.37","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bain's Cape Mountain Whisky","8.13","0.47","10","$$","Scotch-like","","","South Africa","Grain"
"Nikka Super Nikka","8.13","0.46","10","$$$","Scotch-like","","","Japan","Blend"
"Mackmyra Blomstertid","8.12","0.22","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"The Irishman Single Malt (NAS)","8.12","0.43","7","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Knappogue Castle Vintage","8.12","0.78","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Kilbeggan 8yo Single Grain (Greenore)","8.12","0.39","12","$$","Scotch-like","","","Ireland","Grain"
"The Irishman Original Clan Irish Whiskey","8.12","0.26","4","$$","Scotch-like","","","Ireland","Blend"
"BenRiach 15yo Sauternes Finish","8.11","0.49","3","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bank Note 5yo Blended Scotch","8.11","0.65","5","$","Scotch-like","","","Scotland","Blend"
"Famous Jubilee","8.11","0.19","3","$$","Scotch-like","","","Scotland","Blend"
"Teeling Poitin","8.11","0.24","5","$$","Scotch-like","","","Ireland","Blend"
"Hiram Walker Special Old Rye","8.11","0.37","9","$","Rye-like","","","Canada","Blend"
"Old Fitzgerald BiB","8.11","0.52","9","$$$","Bourbon-like","","R0","USA","Bourbon"
"Glen Moray 10yo Chardonnay Cask","8.10","0.54","14","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenburgie 10yo (Gordon & MacPhail)","8.10","0.39","8","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenfiddich 12yo","8.10","0.23","26","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomatin Legacy","8.1","0.42","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"West Cork Original Bourbon Cask","8.1","0.38","6","$$","Scotch-like","","","Ireland","Blend"
"Canadian Club Classic 12yo (Small Batch)","8.10","0.41","14","$","Rye-like","","","Canada","Blend"
"Bib & Tucker 6yo Bourbon","8.10","0.17","5","$$$","Bourbon-like","","R3","USA","Bourbon"
"Glen Garioch Virgin Oak","8.09","0.44","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenturret 10yo","8.09","0.50","13","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Powers Gold Label","8.09","0.45","14","$$","Scotch-like","","","Ireland","Blend"
"Dalmore Gran Reserva","8.08","0.33","10","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Sherry Cask Reserve","8.08","0.70","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Spey 12yo (F&F)","8.08","0.42","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Alberta Premium","8.08","0.68","13","$","Rye-like","","","Canada","Blend"
"Wild Turkey 81 Bourbon","8.08","0.49","16","$","Bourbon-like","","R2","USA","Bourbon"
"Lohin McKinnon Wine Barrel Finished (Black Sage)","8.07","0.66","5","$$$","SingleMalt-like","ABC","C","Canada","Malt"
"Glenlivet 12yo","8.07","0.30","22","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Miltonduff 10yo (F&F)","8.07","0.41","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown Unité","8.07","0.31","4","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Speyburn 10yo","8.07","0.32","22","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Buchanan's Red Seal Blended","8.07","1.17","5","$$$$$","Scotch-like","","","Scotland","Blend"
"Suntory Toki","8.07","0.37","13","$$$","Scotch-like","","","Japan","Blend"
"Koval Single Barrel Rye","8.07","0.23","5","$$$","Rye-like","","R4","USA","Rye"
"Lohin McKinnon Single Malt","8.06","0.31","8","$$$","SingleMalt-like","GH","H","Canada","Malt"
"Buchanan's 12yo Deluxe Blended","8.06","0.34","10","$$","Scotch-like","","","Scotland","Blend"
"Dalmore Valour","8.05","0.35","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 228 Burgundy Finish","8.05","0.33","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Cardhu 12yo","8.05","0.48","21","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Moray 12yo","8.05","0.29","14","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Moray Classic","8.05","0.19","6","$","SingleMalt-like","GH","G","Scotland","Malt"
"Pig's Nose 5yo Blended Malt","8.05","0.36","5","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tullibardine Aged Oak Edition","8.05","0.42","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Whyte & Mackay 13yo","8.05","0.57","5","$$$$","Scotch-like","","","Scotland","Blend"
"Jim Beam Devil's Cut","8.05","0.49","17","$","Bourbon-like","","R2","USA","Bourbon"
"Laphroaig Select","8.04","0.36","15","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin 12yo","8.04","0.46","20","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomatin Cu Bocan","8.04","0.38","13","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tullamore Dew Special Reserve 12yo","8.04","0.3","10","$$$","Scotch-like","","","Ireland","Blend"
"Century Reserve Lot 15/25","8.04","0.95","6","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Hopped","8.04","0.54","8","$","Rye-like","","","Canada","Blend"
"Henry McKenna Straight Bourbon","8.04","0.07","3","$","Bourbon-like","","R1","USA","Bourbon"
"Longmorn Distiller's Choice","8.03","0.44","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Singleton of Glendullan 12yo","8.03","0.42","14","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullamore Dew 10yo Single Malt","8.03","0.79","6","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Glen Breton 10yo Rare","8.03","0.45","15","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Cutty Sark Storm","8.03","0.48","8","$","Scotch-like","","","Scotland","Blend"
"Kakubin Yellow Label (Suntory Whisky)","8.03","0.80","5","$$","Scotch-like","","","Japan","Blend"
"Yamazakura 16yo Blended Whisky","8.03","0.61","3","$$$$$","Scotch-like","","","Japan","Blend"
"Royal Canadian Small Batch","8.03","0.37","13","$$","Rye-like","","","Canada","Blend"
"Jura 10yo Origin","8.02","0.35","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Santis Edition Dreifaltigkeit","8.02","1.24","7","$$$$","SingleMalt-like","J","J","Switzerland","Malt"
"Three Ships 5yo","8.02","0.5","9","$","Scotch-like","","","South Africa","Blend"
"Canada Gold","8.02","0.74","5","$","Rye-like","","","Canada","Blend"
"Jack Daniel's No. 27 Gold Double Barrelled","8.02","0.18","3","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Penderyn Madeira","8.01","0.90","15","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Royal Lochnagar 12yo","8.01","0.32","15","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Game of Thrones House Targaryen Cardhu Gold Reserve","8.01","0.30","10","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"2 Gingers Irish Whiskey","8.01","0.34","3","$$","Scotch-like","","","Ireland","Blend"
"Canadian Mist Black Diamond","8.01","0.56","6","$","Rye-like","","","Canada","Blend"
"Collingwood","8.01","0.30","10","$$","Rye-like","","","Canada","Blend"
"Coyote Ugly","8.01","0.56","5","$","Rye-like","","","Canada","Blend"
"Wild Turkey 81 Rye","8.01","0.23","7","$$","Rye-like","","R4","USA","Rye"
"Mellow Corn BiB","8.01","0.42","16","$","Bourbon-like","","R1","USA","Bourbon"
"Old Grand-Dad Bourbon (80/86 Proof)","8.01","0.55","12","$$","Bourbon-like","","R3","USA","Bourbon"
"Bladnoch Samsara","8.00","0.67","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Machrie Moor Peated (all editions)","8.00","0.57","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Catto's Rare Old","8.00","0.68","5","$","Scotch-like","","","Scotland","Blend"
"Ezra Brooks Rye","8.00","0.53","3","$","Rye-like","","R4","USA","Rye"
"Glenrothes 10yo","7.98","0.32","3","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Grant's Blended Sherry Cask","7.98","0.20","6","$","Scotch-like","","","Scotland","Blend"
"Nikka Days","7.98","0.45","3","$$$","Scotch-like","","","Japan","Blend"
"Gibson's Finest Sterling","7.98","0.38","9","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Deluxe","7.98","0.53","11","$","Rye-like","","","Canada","Blend"
"Glenlivet Founder's Reserve","7.97","0.34","18","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Wayne Gretzky No. 99 Red Cask","7.97","0.38","11","$$","Rye-like","","","Canada","Blend"
"Jura 16yo","7.96","0.51","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tullibardine 1993 Port","7.96","0.37","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glen Deveron 10yo (Macduff)","7.96","0.37","5","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kilbeggan Irish Reserve Malt Whiskey","7.96","0.46","7","$$","SingleMalt-like","GH","G","Ireland","Malt"
"Catto's 12yo","7.96","0.15","5","$$","Scotch-like","","","Scotland","Blend"
"Canadian Club Barley Batch","7.96","0.38","4","$$","Rye-like","","","Canada","Blend"
"Stagg Jr batch 2 (128.7 proof)","7.96","0.87","3","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Auchentoshan Classic","7.95","0.40","9","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Famous Grouse Smoky Black (Black Grouse)","7.95","0.45","21","$$","Scotch-like","","","Scotland","Blend"
"Jim Beam Rye","7.95","0.64","11","$","Rye-like","","R4","USA","Rye"
"Smooth Ambler Old Scout Yearling Bourbon","7.95","0.95","4","$$$","Bourbon-like","","R0","USA","Bourbon"
"Santis Edition Sigel","7.94","0.72","8","$$$","SingleMalt-like","EF","E","Switzerland","Malt"
"Bladnoch 16yo (Signatory)","7.94","0.43","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Black Bottle (after 2013 re-launch)","7.94","0.47","16","$$","Scotch-like","","","Scotland","Blend"
"Canadian Club Reserve 9yo","7.94","0.53","5","$","Rye-like","","","Canada","Blend"
"Twelve Barrels","7.94","0.41","5","$$","Rye-like","","","Canada","Blend"
"Jack Daniel's Old No. 7","7.94","0.38","16","$$","Bourbon-like","","R1","USA","Bourbon"
"Millstone 8yo French Oak","7.93","0.63","4","$$$$","SingleMalt-like","EF","E","Netherlands","Malt"
"Scapa Skiren","7.93","0.58","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"J.P. Wiser's Rye","7.93","0.42","9","$","Rye-like","","","Canada","Blend"
"Singleton of Dufftown 12yo","7.92","0.45","12","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Knockando 12yo (All Vintages)","7.92","0.45","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Highwood Ninety 5yo","7.92","0.80","8","$","Rye-like","","","Canada","Blend"
"Pendleton (Let'er Buck)","7.92","0.55","14","$$","Rye-like","","","Canada","Blend"
"66 Gilead The Wild Oak","7.92","0.54","7","$$","Bourbon-like","","","Canada","Blend"
"Game of Thrones House Tully Singleton Glendullan Select","7.91","0.48","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Templeton Rye","7.91","0.43","8","$$$","Rye-like","","R4","USA","Rye"
"Singleton of Glen Ord Signature","7.9","0.31","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tormore 12yo","7.9","0.38","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"White Oak Akashi Single Malt (NAS)","7.9","0.49","7","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Dewar's 12yo","7.90","0.42","14","$$","Scotch-like","","","Scotland","Blend"
"John Barr Reserve (Black Label)","7.90","0.42","6","$","Scotch-like","","","Scotland","Blend"
